Date,Close,Daily Returns,rolling_volatility
2012-12-07,20.626035690307617,0.002405350224146563,0.09005228905217992
2012-12-10,20.601282119750977,-0.0012001128538855488,0.08898894037917378
2012-12-11,20.73329734802246,0.006408107393710116,0.0907920971122833
2012-12-12,20.725048065185547,-0.00039787606855024027,0.09091109159071639
2012-12-13,20.560041427612305,-0.007961701080463346,0.09212945654657803
2012-12-14,20.535287857055664,-0.001203965013581998,0.07512254518689543
2012-12-17,20.634296417236328,0.004821386525957427,0.0741818657779441
2012-12-18,20.980810165405273,0.01679309733476031,0.08191419079023692
2012-12-19,20.94780158996582,-0.0015732745865972841,0.08239206483569354
2012-12-20,20.939559936523438,-0.0003934376314854715,0.08157552144929514
2012-12-21,20.890052795410156,-0.002364287562076628,0.0809968750487362
2012-12-24,20.667295455932617,-0.010663321038924423,0.09053624210559101
2012-12-27,20.566864013671875,-0.004859438066044275,0.09206420990391188
2012-12-28,20.566864013671875,0.0,0.0918504739106401
2012-12-31,20.815855026245117,0.012106416049025404,0.10066306834823371
2013-01-02,21.064855575561523,0.011962062043690214,0.10468246591578101
2013-01-03,21.181045532226562,0.005515820236614344,0.10583903465595312
2013-01-04,21.230846405029297,0.00235119993141808,0.10565534431980197
2013-01-07,21.19765853881836,-0.0015631909146625045,0.10321663324076656
2013-01-08,21.12295150756836,-0.0035243058148706208,0.10464486721708174
2013-01-09,21.214248657226562,0.004322177685513795,0.10515168033301575
2013-01-10,21.313844680786133,0.004694770254125569,0.10570445866131872
2013-01-11,21.330446243286133,0.0007789098001154127,0.10526903093505428
2013-01-14,21.280651092529297,-0.0023344636201649838,0.10467460658889476
2013-01-15,21.330446243286133,0.002339926092501887,0.10455709330818513
2013-01-16,21.3719425201416,0.0019454012533155485,0.09886663357111618
2013-01-17,21.504741668701172,0.006213714473282783,0.09930421586708164
2013-01-18,21.695634841918945,0.008876794530185306,0.10161093803626611
2013-01-21,21.88652801513672,0.008798690363692074,0.09052206258300102
2013-01-22,21.77033042907715,-0.005309091783731401,0.09327884070310755
2013-01-23,21.986125946044922,0.00991236755320668,0.09691374657096279
2013-01-24,22.077430725097656,0.004152836169355245,0.09554520600298845
2013-01-25,22.260025024414062,0.00827063174107634,0.08412510390115242
